app/[locale]/[toolSlug]/page.tsx(405,105): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(405,112): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(405,134): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(405,143): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(406,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(406,40): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(407,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(407,45): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(408,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(410,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(411,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(412,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(413,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(414,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(414,35): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(415,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(415,50): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(416,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(417,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(419,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(420,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(420,40): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,24): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,42): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,47): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,70): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(421,74): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(422,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(424,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(425,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(426,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(427,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(428,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,50): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,70): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,74): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,93): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(429,98): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(431,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(432,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(432,57): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(432,72): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(432,76): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/age-life-calculator/page.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/age-life-calculator/page.tsx(2,26): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/age-life-calculator/page.tsx(7,164): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/app-icon-favicon-generator/page.tsx(1,29): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/app-icon-favicon-generator/page.tsx(2,24): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/app-icon-favicon-generator/page.tsx(40,10): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/app-store-screenshot-maker/page.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/app-store-screenshot-maker/page.tsx(2,26): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/app-store-screenshot-maker/page.tsx(20,10): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/blog-open-graph-image-maker/page.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/blog-open-graph-image-maker/page.tsx(2,26): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/blog-open-graph-image-maker/page.tsx(10,165): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/business-day-calculator/page.tsx(1,29): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/business-day-calculator/page.tsx(2,24): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/business-day-calculator/page.tsx(7,165): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/case-sentence-format-converter/page.tsx(1,29): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/case-sentence-format-converter/page.tsx(2,24): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/case-sentence-format-converter/page.tsx(7,165): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/category/[categorySlug]/page.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/category/[categorySlug]/page.tsx(2,18): error TS2307: Cannot find module 'next/link' or its corresponding type declarations.
app/[locale]/category/[categorySlug]/page.tsx(3,26): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/category/[categorySlug]/page.tsx(102,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/category/[categorySlug]/page.tsx(103,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(104,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(106,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(106,77): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(107,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(107,47): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(108,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(108,85): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(109,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,67): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,90): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,97): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,111): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(110,119): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(111,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(113,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(114,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(115,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(115,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(116,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(116,60): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(117,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(118,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(164,49): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(164,108): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(167,32): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(169,45): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(170,31): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(173,30): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(175,37): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(176,31): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(178,27): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(180,30): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(182,35): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(184,30): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(188,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/category/[categorySlug]/page.tsx(188,59): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
